 DOWN | jackson_..
   UP | blinky1005
 LEFT | blinky1004
 LEFT | blinky1006
   UP | jackson_..
RIGHT | freakout..
 DOWN | blinky1005
 DOWN | gabriel1..
 DOWN | seattlea..
   UP | blinky1005
   UP | blinky1005
   UP | gabriel1..
 LEFT | flyerhm
RIGHT | blinky1008
 DOWN | freakout..
 DOWN | blinky1005
 LEFT | blinky1005
 LEFT | seattlea..
 LEFT | eminem19..
 LEFT | onlylose..
 LEFT | freakout..
 DOWN | blinky1008
 LEFT | freakout..
   UP | blinky1004
 LEFT | jackson_..
   UP | blinky1008
   UP | freakout..
 LEFT | seattlea..
RIGHT | freakout..
   UP | preston_..
RIGHT | gabriel1..
 LEFT | blinky1004
   UP | blinky1006
   UP | onlylose..
RIGHT | blinky1008
 LEFT | preston_..
   UP | seattlea..
 LEFT | seattlea..
RIGHT | flyerhm
   UP | jackson_..
   UP | blinky1008
 LEFT | blinky1005
   UP | freakout..
   UP | seattlea..
 LEFT | seattlea..
 LEFT | onlylose..
   UP | gabriel1..
RIGHT | freakout..
RIGHT | eminem19..
RIGHT | seattlea..
 DOWN | jackson_..
 DOWN | blinky1008
RIGHT | blinky1004
RIGHT | preston_..
   UP | eminem19..
   UP | seattlea..
   UP | onlylose..
RIGHT | blinky1005
RIGHT | blinky1006
 DOWN | preston_..
RIGHT | blinky1005
 LEFT | freakout..
RIGHT | eminem19..
 LEFT | blinky1008
RIGHT | freakout..
   UP | eminem19..
RIGHT | eminem19..
   UP | seattlea..
 LEFT | blinky1004
 DOWN | blinky1006
 DOWN | flyerhm
   UP | jackson_..
RIGHT | onlylose..
   UP | preston_..
   UP | blinky1008
 LEFT | blinky1005
RIGHT | seattlea..
RIGHT | blinky1008
 LEFT | preston_..
   UP | blinky1005
 DOWN | gabriel1..
RIGHT | preston_..
 DOWN | jackson_..
 DOWN | freakout..
   UP | seattlea..
 LEFT | onlylose..
   UP | flyerhm
RIGHT | blinky1005
 LEFT | gabriel1..
 LEFT | eminem19..
   UP | blinky1005
RIGHT | gabriel1..
 LEFT | blinky1006
 LEFT | jackson_..
RIGHT | freakout..
RIGHT | blinky1004
 DOWN | flyerhm
 DOWN | jackson_..
   UP | blinky1008
RIGHT | onlylose..
 DOWN | preston_..
 DOWN | blinky1005
